BsaI,BbsI,PaqCI,BsmBI/Esp3I,Payload_2,Payload_4,Payload_1,Payload_8,Payload_6,Payload_3,Plate_ID,Row,Col
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,E,10
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,10
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,10
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,H,10
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,11
0.0,7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,45.0,A,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,12
0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.5,0.0,45.0,D,12
0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,45.0,E,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,12
