Plate_ID,Row,Col,Gene_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,SMU #,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3,Operon Map
37,G,6,SMU_357,BbsI,KD_Payload_4,Tag_8,Tag_32,323,,,,,N,N,0.114,20.00361,9.05e-15,1.33667,False,False,False,True,False,False,False,False,False,False,"[323, 324, 325]"
37,A,1,SMU_417,BsaI,KD_Payload_2,Tag_1,Tag_48,380,,,,,N,N,0.137,24.00333,0.000561158,22.40667,False,False,False,True,False,False,False,False,False,False,"[380, 381, 382, 383, 384, 385]"
37,F,1,SMU_445,BsaI,KD_Payload_2,Tag_150,Tag_163,405,,,,,N,N,0.198,24.00333,0.013267691,23.66667,False,False,False,True,False,False,False,False,False,False,"[405, 406]"
37,C,1,SMU_453,BsaI,KD_Payload_2,Tag_21,Tag_40,412,,,,,N,N,0.133,24.00333,2.76e-14,1.33667,False,False,False,True,False,False,False,False,False,False,"[412, 413, 414, 415]"
37,G,1,SMU_464,BsaI,KD_Payload_2,Tag_11,Tag_138,423,,,,,N,N,0.206,24.00333,0.030748429,23.66667,False,False,False,True,False,False,False,False,False,False,"[423, 424]"
38,G,1,SMU_478,BsaI,KD_Payload_2,Tag_9,Tag_98,434,,,,,N,N,0.125,4.66972,2.76e-24,1.33639,False,False,False,False,False,False,False,False,False,False,"[434, 435]"
38,E,5,SMU_548,BbsI,KD_Payload_4,Tag_14,Tag_134,500,,,,,N,N,0.166,1.33639,-2.91e-16,18.09639,False,False,False,False,False,True,False,False,False,False,"[500, 501, 502]"
38,F,5,SMU_551,BsaI,KD_Payload_2,Tag_21,Tag_54,503,,,,,N,N,0.138,6.00306,2.1e-24,1.33639,False,False,False,False,False,False,False,False,False,False,"[503, 504, 505, 506, 507, 508, 509]"
38,G,5,SMU_558,BbsI,KD_Payload_4,Tag_24,Tag_125,510,,,,,N,N,0.12,16.33639,8.61e-15,1.33639,False,False,False,True,False,False,False,False,False,False,"[510, 511]"
38,H,1,SMU_650,BsaI,KD_Payload_2,Tag_31,Tag_115,594,,,,,N,N,0.127,16.00333,-1.8100000000000002e-21,1.33639,False,False,False,True,False,False,False,False,False,False,"[594, 595, 596, 597, 598, 599, 600]"
38,H,1,SMU_674,BsaI,KD_Payload_2,Tag_13,Tag_178,618,,,,,N,N,0.119,13.67,-2.04e-19,1.33639,False,False,False,True,False,False,False,False,False,False,"[618, 619]"
39,D,2,SMU_697,BsaI,KD_Payload_2,Tag_71,Tag_116,639,,,,,N,N,0.129,24.00278,1.36e-14,1.33639,False,False,False,True,False,False,False,False,False,False,"[639, 640, 641, 642, 643, 644, 645]"
39,D,3,SMU_715,BsaI,KD_Payload_2,Tag_4,Tag_13,654,,,,,N,N,0.123,5.33611,3.01e-20,1.33639,False,False,False,False,False,False,False,False,False,False,"[654, 655, 656]"
39,C,7,SMU_784,BbsI,KD_Payload_4,Tag_38,Tag_182,713,,,,,N,N,1.692,23.33639,0.397122812,17.58639,False,False,True,True,True,True,False,False,True,True,"[713, 714, 715, 716]"
39,H,9,SMU_821,BsaI,KD_Payload_2,Tag_89,Tag_143,747,,,,,N,N,0.113,22.66944,1.34e-17,1.33639,False,False,False,True,False,False,False,False,False,False,"[747, 748, 749]"
39,A,1,SMU_824,BsaI,KD_Payload_2,Tag_99,Tag_140,750,,,,,?,N,0.226,24.00278,0.038994002,23.66639,False,False,False,True,False,False,False,False,False,False,"[750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760]"
39,G,1,SMU_865,BsaI,KD_Payload_2,Tag_30,Tag_101,790,,,,,N,N,0.143,23.66972,0.000247168,18.90639,False,False,False,True,False,True,False,False,False,False,"[790, 791]"
39,H,1,SMU_867,BsaI,KD_Payload_2,Tag_120,Tag_165,792,,,,,N,N,0.129,23.66972,1.02e-21,1.33639,False,False,False,True,False,False,False,False,False,False,"[792, 793]"
40,E,1,SMU_898,BsaI,KD_Payload_2,Tag_37,Tag_178,821,,,,,N,Y,1.825,15.00361,0.377103626,9.85639,False,True,True,True,True,True,False,True,True,True,"[821, 822, 823]"
40,F,1,SMU_901,BbsI,KD_Payload_4,Tag_49,Tag_129,824,,,,,N,N,0.119,18.00306,8.039999999999999e-23,1.33639,False,False,False,True,False,False,False,False,False,False,"[824, 825]"
40,C,2,SMU_913,BsaI,KD_Payload_2,Tag_29,Tag_130,831,,,,,N,Y,1.843,13.00306,0.423987216,8.39639,False,True,True,True,True,True,False,True,True,True,"[831, 832, 833, 834, 835, 836, 837, 838]"
