Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
20,G,11,SMU_1703c,BsaI,Payload_1,Tag_76,Tag_112,1551,24380077,SMU.1703c,VIMSS296380,1028932,N,N,Y,N,0.568,24.16972,0.203595977392202,23.74972,False,False,True,True,True,False,False,False,False,False
20,A,12,SMU_1704,BsaI,Payload_2,Tag_37,Tag_75,1552,24380078,SMU.1704,VIMSS296381,1028933,Y,Y,N,?,1.73,24.16972,0.299138738384594,7.46972,True,True,True,True,True,True,True,True,True,True
20,B,12,SMU_1705,BsaI,Payload_2,Tag_121,Tag_175,1553,24380079,SMU.1705,VIMSS296382,1028934,Y,Y,Y,N,1.708,22.91972,0.30082411740499,7.57972,True,True,True,True,True,True,True,True,True,True
20,C,12,SMU_1706,BsaI,Payload_2,Tag_71,Tag_175,1554,24380080,SMU.1706,VIMSS296383,1028935,Y,Y,Y,N,1.724,24.16972,0.302245116785882,7.69972,True,True,True,True,True,True,True,True,True,True
20,D,12,SMU_1707c,BsaI,Payload_1,Tag_176,Tag_180,1555,24380081,SMU.1707c,VIMSS296384,1028936,Y,Y,Y,N,1.738,23.33639,0.308871532953018,7.52972,True,True,True,True,True,True,True,True,True,True
20,F,12,SMU_1708,BsaI,Payload_2,Tag_135,Tag_186,1556,24380082,SMU.1708,VIMSS296385,1028937,Y,Y,Y,N,1.66,24.16972,0.288704457634923,10.88972,True,True,True,True,True,True,True,True,True,True
20,G,12,SMU_1709,BsaI,Payload_2,Tag_40,Tag_148,1557,24380083,SMU.1709,VIMSS296386,1028938,Y,Y,Y,N,1.649,23.33639,0.284067606902929,9.68972,True,True,True,True,True,True,True,True,True,True
20,H,12,SMU_1710c,BsaI,Payload_1,Tag_100,Tag_123,1558,24380084,SMU.1710c,VIMSS296387,1028941,Y,Y,Y,N,1.562,24.16972,0.268188914087384,9.08972,True,True,True,True,True,True,True,True,True,True
21,A,1,SMU_1711,BsaI,Payload_1,Tag_3,Tag_160,1559,,,,,Y,Y,N,Y,1.672,11.25333,0.316683228642914,8.08,True,True,True,True,True,True,True,True,True,True
21,B,1,SMU_1712c,BsaI,Payload_1,Tag_3,Tag_22,1560,24380086,SMU.1712c,VIMSS296389,1028939,Y,Y,N,?,1.683,23.75333,0.34838569394866,7.63,True,True,True,True,True,True,True,True,True,True
21,C,1,SMU_1713c,BsaI,Payload_1,Tag_43,Tag_135,1561,24380087,SMU.1713c,VIMSS296390,1029544,Y,Y,Y,N,1.75,23.75333,0.346021216513701,7.47,True,True,True,True,True,True,True,True,True,True
21,D,1,SMU_1714c,BbsI,Payload_3,Tag_149,Tag_159,1562,24380088,SMU.1714c,VIMSS296391,1028972,Y,Y,Y,N,1.75,22.08861,0.323236252477156,7.51,True,True,True,True,True,True,True,True,True,True
21,E,1,SMU_1715c,BbsI,Payload_3,Tag_18,Tag_142,1563,24380089,SMU.1715c,VIMSS296392,1028940,Y,Y,Y,N,1.686,23.75333,0.322668384901484,7.06,True,True,True,True,True,True,True,True,True,True
21,F,1,SMU_1716c,BsaI,Payload_1,Tag_131,Tag_173,1564,24380090,SMU.1716c,VIMSS296393,1028860,Y,Y,Y,N,1.804,20.42,0.323027438507328,7.45,True,True,True,True,True,True,True,True,True,True
21,G,1,SMU_1717c,BsaI,Payload_1,Tag_90,Tag_101,1565,24380091,SMU.1717c,VIMSS296394,1028805,Y,Y,Y,N,1.801,20.42,0.328451634863325,7.32,True,True,True,True,True,True,True,True,True,True
21,H,1,SMU_1718,BsaI,Payload_1,Tag_33,Tag_59,1566,,,,,Y,Y,N,Y,1.633,18.33667,0.311321636936299,6.72,True,True,True,True,True,True,True,True,True,True
21,A,2,SMU_1719c,BsaI,Payload_1,Tag_55,Tag_161,1567,24380093,SMU.1719c,VIMSS296396,1028944,Y,Y,N,?,1.801,15.83667,0.327235957041971,5.63,True,True,True,True,True,True,True,True,True,True
