Unnamed: 0,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
2230,24,G,3,SMU_1990,BsaI,Payload_1,Tag_73,Tag_172,1807,,,,,N,N,N,Y,0.111,9.58639,-4.45312851142609e-18,1.66972,False,False,False,True,False,False,False,False,False,False
2244,24,E,5,SMU_2000,BsaI,Payload_1,Tag_34,Tag_145,1816,,,,,N,N,N,?,0.116,16.67,1.8700525064030286e-16,7.32972,False,False,False,True,False,True,False,False,False,False
2245,24,F,5,SMU_2001,BsaI,Payload_1,Tag_4,Tag_123,1817,,,,,N,N,N,Y,0.105,2.92,1.9131865723539702e-20,1.66972,False,False,False,False,False,False,False,False,False,False
2246,24,G,5,SMU_2002,BsaI,Payload_1,Tag_15,Tag_22,1818,,,,,N,N,N,Y,0.119,2.08639,-4.76533883683368e-26,1.66972,False,False,False,False,False,False,False,False,False,False
2247,24,H,5,SMU_2003,BsaI,Payload_1,Tag_10,Tag_60,1819,,,,,N,N,N,?,0.9,24.16972,0.204414588308006,23.21972,False,False,True,True,True,False,False,False,False,False
2248,24,A,6,SMU_2003a,BsaI,Payload_1,Tag_95,Tag_145,1820,24380346.0,SMU.2003a,VIMSS296649,1029195.0,N,N,Y,N,0.101,5.42,8.43820729745854e-16,1.66972,False,False,False,False,False,False,False,False,False,False
2249,24,B,6,SMU_2004,BsaI,Payload_1,Tag_18,Tag_136,1821,,,,,N,N,Y,N,0.121,2.92,-2.63964200991672e-24,1.66972,False,False,False,False,False,False,False,False,False,False
2250,24,C,6,SMU_2005,BsaI,Payload_1,Tag_3,Tag_186,1822,,,,,N,N,N,Y,0.104,3.33639,3.2973064870396396e-28,1.66972,False,False,False,False,False,False,False,False,False,False
2252,24,E,6,SMU_2006,BsaI,Payload_1,Tag_23,Tag_83,1823,,,,,N,N,N,Y,0.114,8.33639,-1.1142264687398901e-23,1.66972,False,False,False,True,False,False,False,False,False,False
2253,24,F,6,SMU_2007,BsaI,Payload_1,Tag_78,Tag_116,1824,,,,,N,N,Y,N,0.107,16.67,-9.81048802650797e-20,1.66972,False,False,False,True,False,False,False,False,False,False
2255,24,H,6,SMU_2008,BsaI,Payload_1,Tag_46,Tag_132,1825,,,,,N,N,N,?,0.097,3.75306,-2.4647827749153505e-17,1.66972,False,False,False,False,False,False,False,False,False,False
2256,24,A,7,SMU_2009,BsaI,Payload_1,Tag_20,Tag_89,1826,,,,,N,N,N,Y,0.103,2.08639,-6.43543900354912e-25,1.66972,False,False,False,False,False,False,False,False,False,False
2257,24,B,7,SMU_2010,BsaI,Payload_1,Tag_22,Tag_50,1827,,,,,N,N,Y,N,0.111,10.41972,-9.11616852339317e-25,1.66972,False,False,False,True,False,False,False,False,False,False
2258,24,C,7,SMU_2011,BsaI,Payload_1,Tag_125,Tag_153,1828,,,,,N,N,Y,N,0.125,2.08639,3.08842143379593e-25,1.66972,False,False,False,False,False,False,False,False,False,False
2260,24,E,7,SMU_2012,BsaI,Payload_1,Tag_120,Tag_133,1829,,,,,N,N,Y,N,0.104,8.33639,6.01096670187746e-29,1.66972,False,False,False,True,False,False,False,False,False,False
2262,24,G,7,SMU_2014,BsaI,Payload_1,Tag_13,Tag_84,1830,,,,,N,N,N,Y,0.109,5.83667,-1.28835877795835e-29,1.66972,False,False,False,False,False,False,False,False,False,False
2263,24,H,7,SMU_2015,BsaI,Payload_1,Tag_39,Tag_84,1831,,,,,N,N,N,Y,0.103,9.58639,-3.4425458351838205e-21,1.66972,False,False,False,True,False,False,False,False,False,False
2264,24,A,8,SMU_2016,BsaI,Payload_1,Tag_111,Tag_118,1832,,,,,N,N,N,Y,0.111,2.08639,-1.9072663069205602e-21,1.66972,False,False,False,False,False,False,False,False,False,False
2265,24,B,8,SMU_2017,BsaI,Payload_1,Tag_1,Tag_81,1833,,,,,N,N,N,?,0.109,2.08639,-2.38916709992338e-17,1.66972,False,False,False,False,False,False,False,False,False,False
2266,24,C,8,SMU_2018,BsaI,Payload_1,Tag_48,Tag_188,1834,,,,,N,N,N,Y,0.112,2.08639,1.49923870702225e-27,1.66972,False,False,False,False,False,False,False,False,False,False
